Tỉnh,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Long An,457,463.6,471.1,484.2,499.6,527.7,519.2,522.9,527.4,526.7,511.3,506.3,502.6,511.3
Tiền Giang,244.9,246.4,244,241.8,241.4,235.6,230.6,224.7,215.5,210.8,201.3,184.3,136,131.9
Bến Tre,79.2,81.1,80.2,76.9,75.8,72.2,66.6,63,41.5,54.9,51.8,47.6,22,36.6
Trà Vinh,226.9,231.9,232.7,233,227.4,235.6,235.8,235.8,210.6,220.2,223.2,224.3,205.2,209
Vĩnh Long,177.4,176.7,170,181.5,185.9,181.9,180.2,180.5,176.4,169.4,161.9,155.5,145.8,134.5
Đồng Tháp,468.1,450.8,465.1,501.1,487.6,541.8,528.6,546,551.4,538.3,520.4,521.6,514.2,504.4
An Giang,564.5,557.3,586.6,607.6,625.1,641.4,625.8,644.2,669,641.1,623.1,626.3,637.2,624.9
Kiên Giang,609.2,622.1,642.7,686.9,725.1,770.4,753.6,769.5,765.9,735.3,728.4,722.1,725.8,715.7
Cần Thơ,218.6,208.8,209.4,224.7,228.2,236.6,232.3,237.9,240,240.1,237.3,225.1,223,222.4
Hậu Giang,202.9,191.2,210.7,212.7,214.1,212,205.3,207.1,202.2,206.6,194.6,196.1,198.2,189
Sóc Trăng,322.3,334.6,349.6,349,365.9,373.5,363.9,362.7,356.6,348.2,351.8,356.3,353.7,327.9
Bạc Liêu,155,166.5,158.3,164.3,178.7,181.8,180.2,180.6,172.4,180.6,185,188.2,187.6,191
Cà Mau,132.9,139,125.5,130.2,129.2,129.8,127.4,126.6,112.2,113.1,117.4,115.6,112.4,100.1
