độ ẩm bề mặt đất,nhiệt độ bề mặt,tổng lượng mưa,month
2.058465236797567e-05,299.2466880779434,0.0001728572981937,T1
2.793077307472982e-05,301.2056907848712,0.000178929175515,T2
2.304442910654056e-05,303.7229346123757,0.0004058808172262,T3
0.0001009193870328,302.494534767229,0.0044175736631795,T4
0.0001715958812234,301.39451410141976,0.0042538958066747,T5
0.0001089802333072,300.78246604081625,0.0032440965080248,T6
0.0001336510379319,300.5660950266368,0.0052396797729869,T7
0.0001172352258284,300.91306999114727,0.0053638005174788,T8
0.0001523720504645,300.1728396785459,0.0060141421003737,T9
0.0001603326693757,300.1205013342147,0.0059198749397967,T10
0.0001648053016779,299.78040483713335,0.0058730864145168,T11
5.923113928106222e-05,299.0584599461151,0.0008224412547189,T12
